frame,track_id,class,mph,m_per_s,zone_event
4,1,car,28.7,12.817,
4,2,car,26.4,11.788,
4,5,car,26.7,11.932,
5,1,car,28.2,12.608,
5,2,car,25.5,11.409,
5,3,car,19.3,8.634,
5,5,car,28.0,12.515,
6,1,car,28.3,12.663,
6,2,car,26.1,11.67,
6,3,car,19.6,8.779,
6,5,car,27.6,12.354,
7,1,car,28.4,12.68,
7,2,car,26.1,11.657,
7,3,car,19.5,8.698,
7,5,car,27.6,12.351,
8,1,car,28.5,12.725,
8,2,car,25.7,11.508,
8,3,car,19.6,8.773,
8,4,truck,10.8,4.813,
8,5,car,27.7,12.405,
9,1,car,28.5,12.722,
9,2,car,25.7,11.482,
9,3,car,20.0,8.923,
9,4,truck,10.7,4.789,
9,5,car,27.7,12.386,
10,1,car,28.2,12.612,
10,2,car,25.8,11.547,
10,3,car,20.5,9.165,
10,4,truck,11.7,5.229,
10,5,car,27.9,12.474,
11,1,car,27.9,12.458,
11,2,car,25.2,11.266,
11,3,car,20.5,9.186,
11,4,truck,10.6,4.724,
11,5,car,27.9,12.459,
12,1,car,28.1,12.54,
12,2,car,25.1,11.212,
12,3,car,20.3,9.071,
12,4,truck,9.3,4.148,
12,5,car,27.0,12.075,
13,1,car,27.6,12.326,
13,2,car,24.8,11.084,
13,3,car,20.5,9.187,
13,4,truck,9.2,4.099,
13,5,car,27.2,12.174,
14,1,car,27.5,12.291,
14,2,car,24.3,10.86,
14,3,car,20.8,9.28,
14,4,truck,7.3,3.256,
14,5,car,27.3,12.217,
15,1,car,27.3,12.191,
15,2,car,23.9,10.679,
15,3,car,20.7,9.275,
15,4,truck,4.4,1.945,
15,5,car,27.3,12.186,
16,1,car,26.9,12.042,
16,2,car,23.8,10.652,
16,3,car,20.6,9.218,
16,4,truck,2.9,1.306,
16,5,car,27.2,12.159,
17,1,car,27.2,12.162,
17,2,car,23.8,10.631,
17,3,car,20.7,9.249,
17,4,truck,0.4,0.174,
17,5,car,26.8,11.989,
18,1,car,27.0,12.069,
18,2,car,23.6,10.528,
18,3,car,20.3,9.089,
18,4,truck,0.4,0.173,
18,5,car,26.8,12.003,
19,1,car,26.9,12.008,
19,2,car,23.8,10.623,
19,3,car,20.1,8.981,
19,4,truck,0.4,0.174,
19,5,car,27.4,12.234,
20,1,car,27.1,12.132,
20,2,car,23.7,10.609,
20,3,car,20.2,9.04,
20,4,truck,0.4,0.174,
20,5,car,27.0,12.088,
21,1,car,26.7,11.919,
21,2,car,23.5,10.484,
21,3,car,20.1,8.979,
21,4,truck,0.4,0.173,
21,5,car,27.0,12.049,
22,1,car,26.4,11.82,
22,2,car,23.7,10.59,
22,3,car,19.9,8.88,
22,4,truck,0.4,0.174,
22,5,car,26.5,11.859,
23,1,car,26.2,11.71,
23,2,car,23.6,10.569,
23,3,car,19.8,8.848,
23,4,truck,0.4,0.173,
23,5,car,26.5,11.836,
24,1,car,26.1,11.674,
24,2,car,23.5,10.505,
24,3,car,20.1,8.973,
24,4,truck,0.4,0.173,
24,5,car,26.9,12.047,
25,1,car,25.9,11.601,
25,2,car,23.6,10.565,
25,3,car,20.5,9.173,
25,4,truck,0.4,0.174,
25,5,car,26.9,12.025,
26,1,car,25.8,11.536,
26,2,car,23.4,10.463,
26,3,car,20.5,9.153,
26,5,truck,26.1,11.685,
27,1,car,25.5,11.387,
27,2,car,22.9,10.224,
27,3,car,20.2,9.046,
27,5,car,26.5,11.868,
28,1,car,25.5,11.391,
28,2,car,23.2,10.362,
28,3,car,20.8,9.306,
28,5,car,26.6,11.88,
29,1,car,25.5,11.387,
29,2,car,23.3,10.42,
29,3,car,20.7,9.236,
29,5,truck,26.4,11.822,
30,1,car,25.6,11.457,
30,2,car,23.0,10.292,
30,3,car,20.8,9.278,
30,5,car,26.4,11.79,
31,1,car,25.2,11.267,
31,2,car,22.7,10.128,
31,3,car,20.7,9.265,
31,5,car,26.0,11.609,
31,11,car,13.4,6.006,
32,1,car,25.2,11.25,
32,2,car,22.5,10.051,
32,3,car,21.0,9.379,
32,5,truck,25.8,11.517,
32,11,car,13.1,5.85,
33,1,car,24.5,10.965,
33,2,car,22.4,10.013,
33,3,car,21.2,9.465,
33,5,car,26.6,11.886,
33,11,car,12.9,5.747,
34,1,car,24.6,10.991,
34,2,car,22.0,9.824,
34,3,car,21.5,9.629,
34,5,car,25.9,11.576,
34,11,car,12.2,5.438,
35,1,car,24.6,10.982,
35,2,car,22.1,9.878,
35,3,car,21.4,9.568,
35,5,car,25.9,11.582,
35,11,car,13.1,5.838,
36,1,car,24.3,10.86,
36,2,car,22.0,9.82,
36,3,car,21.8,9.755,
36,5,car,26.1,11.652,
36,11,car,13.7,6.143,
37,1,car,24.0,10.722,
37,2,car,21.8,9.728,
37,3,car,21.7,9.687,
37,5,car,25.8,11.55,
37,11,car,11.0,4.911,
38,1,car,23.9,10.678,
38,2,car,21.6,9.668,
38,3,car,21.8,9.742,
38,5,car,26.0,11.627,
38,11,car,12.1,5.41,
39,1,car,23.4,10.482,
39,2,car,21.9,9.786,
39,3,car,21.3,9.502,
39,5,car,25.8,11.525,
39,11,car,11.5,5.154,
40,1,car,23.4,10.461,
40,2,car,21.6,9.666,
40,3,car,21.5,9.609,
40,5,car,25.3,11.305,
40,11,car,11.4,5.081,
41,1,car,22.9,10.224,
41,2,car,21.9,9.805,
41,3,car,21.8,9.724,
41,5,car,25.5,11.413,
41,11,car,13.2,5.889,
42,1,car,22.5,10.078,
42,2,car,21.6,9.635,
42,3,car,21.6,9.639,
42,5,car,25.3,11.296,
42,11,car,11.0,4.932,
43,1,car,21.9,9.784,
43,2,car,21.2,9.479,
43,3,car,21.2,9.477,
43,5,car,25.4,11.335,
43,11,car,11.9,5.312,
44,1,car,19.9,8.914,
44,2,car,21.2,9.462,
44,3,car,21.8,9.742,
44,5,car,25.3,11.321,
44,11,car,13.1,5.876,
45,1,car,18.5,8.282,
45,2,car,21.0,9.37,
45,3,car,21.6,9.645,
45,5,truck,25.1,11.218,
45,11,car,11.9,5.297,
46,1,car,17.4,7.777,
46,2,car,20.8,9.291,
46,3,car,22.0,9.825,
46,5,car,25.3,11.293,
46,11,car,14.1,6.288,
47,1,car,15.7,7.022,
47,2,car,20.7,9.242,
47,3,car,21.9,9.769,
47,5,car,24.9,11.135,
47,11,car,16.3,7.274,
48,1,car,14.1,6.285,
48,2,car,20.3,9.088,
48,3,car,21.4,9.584,
48,5,car,24.7,11.055,
48,11,car,15.8,7.058,
49,1,car,12.4,5.536,
49,2,car,19.9,8.911,
49,3,car,22.1,9.862,
49,5,car,24.6,11.007,
49,11,car,19.5,8.729,
50,1,car,11.1,4.941,
50,2,car,20.0,8.934,
50,3,car,22.2,9.929,
50,5,car,24.8,11.091,
50,11,car,21.4,9.561,
51,1,car,11.0,4.923,
51,2,car,19.8,8.873,
51,3,car,22.4,10.035,
51,5,car,24.6,10.997,
51,11,car,21.0,9.394,
52,1,car,10.4,4.662,
52,2,car,19.8,8.87,
52,3,car,22.6,10.119,
52,5,car,24.3,10.849,
52,11,car,24.5,10.941,
53,1,car,9.8,4.368,
53,2,car,19.4,8.658,
53,3,car,22.5,10.056,
53,5,car,24.7,11.034,
53,11,car,23.3,10.411,
54,1,car,9.7,4.319,
54,2,car,19.5,8.7,
54,3,car,22.7,10.162,
54,5,car,24.7,11.047,
54,11,truck,22.7,10.136,
55,1,car,9.5,4.229,
55,2,car,19.5,8.701,
55,3,car,23.3,10.406,
55,5,truck,24.0,10.71,
55,11,car,23.7,10.607,
56,1,car,9.1,4.051,
56,2,car,19.2,8.583,
56,3,car,22.7,10.128,
56,5,car,24.2,10.82,
56,11,car,22.4,10.001,
57,1,car,8.8,3.92,
57,2,car,19.0,8.486,
57,3,car,22.8,10.181,
57,5,car,23.7,10.576,
57,11,car,22.5,10.041,
58,1,car,8.6,3.86,
58,2,car,18.8,8.391,
58,3,car,22.8,10.186,
58,5,car,23.7,10.601,
58,11,car,24.1,10.772,
59,1,car,8.4,3.762,
59,2,car,18.6,8.335,
59,3,car,22.7,10.145,
59,5,car,24.2,10.822,
59,11,car,23.8,10.623,
60,1,car,8.2,3.685,
60,2,car,18.5,8.255,
60,3,car,23.0,10.274,
60,5,car,23.1,10.345,
60,11,car,24.6,11.006,
61,1,car,8.1,3.61,
61,2,car,17.9,8.019,
61,3,car,23.3,10.398,
61,5,car,22.4,10.018,
61,11,car,25.8,11.513,
62,1,car,8.0,3.569,
62,2,car,17.9,7.992,
62,3,car,23.0,10.303,
62,5,car,22.9,10.226,
62,11,car,25.9,11.588,
63,1,car,8.3,3.729,
63,2,car,18.3,8.201,
63,3,car,23.3,10.407,
63,5,car,22.3,9.989,
63,11,car,26.5,11.855,
64,1,car,8.7,3.881,
64,2,car,18.0,8.057,
64,3,car,24.5,10.942,
64,5,car,22.1,9.859,
64,11,car,25.9,11.557,
65,1,car,8.9,3.979,
65,2,car,17.7,7.919,
65,3,car,23.7,10.604,
65,5,car,21.7,9.679,
65,11,car,26.1,11.678,
66,1,car,9.3,4.138,
66,2,car,17.5,7.828,
66,3,car,21.7,9.694,
66,5,car,21.3,9.52,
66,11,car,25.9,11.574,
67,1,car,9.5,4.267,
67,2,car,17.4,7.793,
67,3,car,20.7,9.266,
67,5,car,21.3,9.515,
67,11,car,25.9,11.584,
68,1,car,9.9,4.411,
68,2,car,17.9,8.006,
68,3,car,19.5,8.716,
68,5,car,22.0,9.841,
68,11,car,25.7,11.469,
69,1,car,10.2,4.55,
69,2,car,17.7,7.892,
69,3,car,17.4,7.765,
69,5,car,22.2,9.919,
69,11,car,26.1,11.685,
70,1,car,10.1,4.531,
70,2,car,17.2,7.702,
70,3,car,15.5,6.92,
70,5,car,21.6,9.648,
70,11,car,24.9,11.121,
71,1,car,10.1,4.531,
71,2,car,17.5,7.819,
71,3,car,13.5,6.026,
71,5,car,21.8,9.766,
71,11,car,24.4,10.903,
72,1,car,10.2,4.55,
72,2,car,17.5,7.842,
72,3,car,12.2,5.433,
72,5,car,22.2,9.908,
72,11,car,24.4,10.91,
73,1,car,10.1,4.531,
73,2,car,17.5,7.802,
73,3,car,12.4,5.522,
73,5,car,21.7,9.696,
73,11,car,24.4,10.891,
74,1,car,10.2,4.55,
74,2,car,17.4,7.764,
74,3,car,12.1,5.408,
74,5,car,21.9,9.786,
74,11,car,25.1,11.21,
75,1,car,10.2,4.55,
75,2,car,17.0,7.616,
75,3,car,11.5,5.16,
75,5,car,21.7,9.686,
75,11,car,24.9,11.13,
76,1,car,10.1,4.531,
76,2,car,17.1,7.659,
76,3,car,11.6,5.175,
76,5,car,21.4,9.569,
76,11,car,23.5,10.484,
77,1,car,10.2,4.55,
77,2,car,16.9,7.541,
77,3,car,12.0,5.347,
77,5,car,21.2,9.498,
77,11,car,24.6,11.007,
78,2,car,16.4,7.321,
78,3,car,11.5,5.139,
78,5,car,21.0,9.369,
78,11,car,26.1,11.66,
79,2,car,16.6,7.412,
79,3,car,11.3,5.047,
79,5,car,20.9,9.33,
79,11,truck,25.4,11.366,
80,2,car,16.7,7.47,
80,3,car,11.5,5.125,
80,5,car,20.9,9.327,
80,11,car,26.2,11.728,
81,2,car,16.7,7.48,
81,3,car,11.4,5.107,
81,5,car,20.6,9.218,
81,11,car,26.1,11.687,
82,2,car,16.3,7.296,
82,3,car,11.7,5.225,
